GeneId	Chr	Start	End	Intron_Start	Intron_End	Log2TPMRatio	TPM_1	TPM_2	minusLog10PValue	PValue	RValue_1	RValue_2
MYO16	chr13	109248500	109860355	109562499	109610035	0.17383	0.000126783	0.000112391	2.4704	0.00338534	0.769645	1.58346
ING1	chr13	111364970	111373421	111365325	111365609	-0.403823	0.157005	0.207718	2.51379	0.00306343	-0.132298	-0.0919047
GRK1	chr13	114321597	114438637	114324130	114325813	1.97539	0.00273876	0.000696469	5.67957	2.09134e-06	-0.729866	-1.81558
GAS6	chr13	114523522	114567076	114523992	114524930	-0.716354	0.0477632	0.078476	2.56584	0.00271747	-0.681993	-0.505428
DLGAP1	chr18	3496030	4455266	3845359	3874153	1.24072	0.000287327	0.000121585	2.68749	0.00205356	0.265934	1.32236
C18orf42	chr18	5143672	5197255	5145755	5197036	-1.5837	0.00197845	0.00593016	4.14311	7.1926e-05	-0.761369	-0.433273
GREB1L	chr18	18822203	19102791	19088553	19093781	-0.389167	0.0415571	0.0544247	2.04412	0.00903401	-0.810242	-0.582849
CCDC178	chr18	30517366	31020685	30804901	30806756	-1.94803	0.000161277	0.000622282	2.12026	0.00758128	1.33981	0.19473
DTNA	chr18	32073254	32471808	32400880	32405230	-1.92358	0.000112272	0.00042592	2.4083	0.00390573	2.93203	-2.72483
FHOD3	chr18	33877659	34360022	34340746	34349227	-0.483046	0.00737121	0.0103027	2.17603	0.00666763	-0.756013	-0.979106
ZNF532	chr18	56530061	56653709	56530399	56532535	-0.596869	0.250358	0.37865	2.0072	0.00983569	-0.503796	-0.595025
LOC284294	chr18	61771325	62090827	62074494	62079539	2.04809	0.000469711	0.000113578	2.8256	0.00149416	0.262163	2.88609
NETO1	chr18	70409549	70534810	70415400	70416248	4.8123	0.256037	0.00911289	5.03467	9.23282e-06	-0.921583	-1.09084
NETO1	chr18	70409549	70534810	70502555	70526060	3.61922	0.0349898	0.00284739	6.36079	4.35722e-07	-0.59078	-0.308226
LOC100505817	chr18	70992176	71017124	70992429	70999699	0.624418	0.00631352	0.00409547	2.66184	0.00217852	-1.6039	-0.763526
LOC100505817	chr18	70992176	71017124	70999817	71016318	1.39573	0.00454403	0.00172697	3.80261	0.000157538	-0.657577	0.0362542
MUC6	chr11	1012824	1036706	1028784	1028888	-1.71138	0.00573243	0.0187722	2.07295	0.00845375	-1.69212	-0.994091
BRSK2	chr11	1411129	1483919	1432864	1457269	1.24925	0.00361699	0.00152155	4.07598	8.39493e-05	0.001947	-0.0548086
BRSK2	chr11	1411129	1483919	1459622	1462017	0.985664	0.0241748	0.0122081	3.24159	0.000573341	-0.786234	-0.766374
BRSK2	chr11	1411129	1483919	1464866	1466200	0.996639	0.0274361	0.0137501	2.43081	0.0037084	-0.673509	-0.864037
BRSK2	chr11	1411129	1483919	1467138	1471005	0.701788	0.0166123	0.0102134	2.04914	0.00893015	-0.813466	-0.81673
SYT9	chr11	7273181	7490276	7335173	7437272	-0.975365	0.00182096	0.00358025	3.03299	0.000926856	-0.304157	-0.510113
SYT9	chr11	7273181	7490276	7441867	7458867	-0.998167	0.101327	0.202396	4.26245	5.46447e-05	-0.234201	-0.283305
SYT9	chr11	7273181	7490276	7462951	7471603	-0.936497	0.0205782	0.0393841	2.56555	0.00271923	-0.901399	-1.08067
SYT9	chr11	7273181	7490276	7471674	7479026	-0.723373	0.135786	0.224188	2.45239	0.00352868	-0.178269	-0.258082
SYT9	chr11	7273181	7490276	7479191	7482469	-0.763841	0.0847181	0.143852	2.44223	0.0036122	-0.275971	-0.384364
SPON1	chr11	13984184	14289679	14282299	14284257	-0.32459	0.980297	1.22764	2.06271	0.00865548	-0.862331	-0.786121
ANO5	chr11	22214722	22304913	22242757	22247529	1.52762	0.000786453	0.00027278	2.03343	0.00925909	-2.35785	0.61475
MPPED2	chr11	30406040	30607930	30410504	30431617	-0.930497	0.00161315	0.00307455	2.32199	0.00476439	-0.488987	-0.413318
ALX4	chr11	44282278	44331716	44286734	44289043	-1.23241	0.00131665	0.00309358	2.54176	0.00287239	-1.08049	-0.698382
TP53I11	chr11	44953899	44972857	44962299	44962553	0.547565	0.280004	0.191572	2.33189	0.00465699	-1.04186	-0.961478
MYRF	chr11	61520109	61555990	61549297	61550969	-0.503477	0.0296533	0.0420373	2.89851	0.00126324	-0.719537	-0.756325
SLC22A11	chr11	64323073	64340347	64329908	64331779	1.19643	0.00130946	0.000571386	2.16079	0.00690566	-0.246554	-1.11465
TSGA10IP	chr11	65713115	65727434	65721209	65726353	1.12517	0.00904617	0.0041472	2.86004	0.00138026	-0.99361	-1.43116
LRP5	chr11	68080077	68216743	68080274	68115314	1.42043	0.00546497	0.00204172	4.86401	1.3677e-05	-0.787829	-0.805568
LOC338694	chr11	68914696	68939030	68935908	68938666	0.782829	0.00278852	0.00162076	2.42128	0.0037907	-0.789166	-0.789863
SHANK2	chr11	70313961	70935842	70319545	70331418	-1.14455	0.000131926	0.00029166	2.71143	0.00194342	0.194149	-1.34042
MAP6	chr11	75297963	75379479	75317050	75319153	1.28107	0.186143	0.0765961	3.12472	0.00075037	-0.72356	-0.569818
TENM4	chr11	78364328	79151695	78387433	78399098	-0.463725	0.0231534	0.0319308	3.82873	0.000148345	-0.148434	-0.642686
NOX4	chr11	89057522	89322779	89088212	89106599	0.506288	0.000157001	0.000110534	2.08217	0.00827615	1.08373	3.16548
LOC101929295	chr11	94883703	94892312	94884913	94890791	-0.8589	0.033604	0.0609461	3.5652	0.000272147	-0.797226	-0.586832
SESN3	chr11	94898677	94965705	94964738	94965215	-0.523638	0.257387	0.370013	2.78884	0.00162615	-0.88065	-1.01953
LOC100129203	chr11	94963350	94967568	94964738	94965215	-0.531533	0.270429	0.390896	2.89851	0.00126324	-0.26154	-0.272227
ELMOD1	chr11	107461817	107537505	107506492	107518193	0.840054	0.000508067	0.000283818	2.06964	0.00851835	-1.11631	0.32434
RDX	chr11	110045605	110167437	110045960	110066285	-1.34801	0.000776657	0.00197706	2.97674	0.00105501	-0.820317	-1.20138
RDX	chr11	110045605	110167437	110070404	110100165	-0.565995	0.0198778	0.0294272	5.65357	2.2204e-06	-0.588117	-0.56824
NXPE1	chr11	114392437	114430617	114398624	114400896	-1.27148	0.000851164	0.00205479	2.27806	0.00527154	0.120662	-0.885075
NXPE1	chr11	114392437	114430617	114423603	114430519	-0.897016	0.000801379	0.00149234	2.43361	0.0036846	0.0952873	-2.04596
IL10RA	chr11	117857106	117872199	117857250	117857398	-0.517487	4.80968	6.88486	2.74557	0.00179649	-0.761292	-0.62247
USP2	chr11	119225925	119252436	119234893	119243416	1.77306	0.00220841	0.000646152	2.76712	0.00170953	-3.1501	-0.194442
OAF	chr11	120081747	120100650	120082219	120096369	0.936374	0.0436098	0.0227881	3.65205	0.000222819	-0.323606	-0.251559
KIRREL3	chr11	126293396	126870766	126343362	126391209	1.04287	0.000456941	0.000221781	2.52078	0.00301455	-1.95622	0.215376
APLP2	chr11	129939716	130014706	129940643	129979323	0.632951	0.0528815	0.034101	2.31211	0.00487402	-0.739438	-0.704641
ATAD3C	chr1	1385069	1405538	1396298	1397979	-1.65827	0.00292935	0.00924611	2.08115	0.00829563	-1.48653	-0.189406
CALML6	chr1	1846266	1848733	1846747	1847123	0.829357	0.136331	0.0767242	2.42716	0.00373971	-0.84056	-0.879378
FAAP20	chr1	2115899	2144159	2137864	2137953	1.00947	0.0529741	0.0263138	2.77124	0.00169341	-0.852251	-0.994646
FAAP20	chr1	2115899	2144159	2138107	2138994	0.623728	0.031037	0.0201428	2.0398	0.00912422	-0.923752	-0.812155
MORN1	chr1	2252692	2323190	2284101	2286613	-0.706694	0.132296	0.215914	3.12438	0.000750974	-0.982366	-0.775427
MORN1	chr1	2252692	2323190	2286904	2288870	-0.827917	0.0593549	0.105362	2.5035	0.00313686	-1.04095	-0.92819
CAMTA1	chr1	6845384	7829766	7737794	7792507	1.41419	0.00783248	0.0029389	4.42346	3.77172e-05	-0.0794682	-0.147674
NPPA	chr1	11905767	11907840	11907497	11907618	-0.607161	0.97734	1.48874	3.38288	0.000414114	-0.361988	-0.368462
HSPB7	chr1	16340523	16345285	16342255	16343568	1.2	0.0134628	0.00586002	3.10523	0.000784825	-0.526143	-0.661337
CLCNKB	chr1	16370231	16383821	16372182	16373029	3.8594	0.00145143	0.0001	3.20534	0.000623253	-0.725515	-1.6314
SH2D5	chr1	21046225	21059133	21051129	21052412	-1.09839	0.00234257	0.00501579	2.48553	0.00326945	-1.24124	-0.794429
ECE1	chr1	21543740	21672034	21616983	21619782	0.390318	0.102134	0.0779246	3.1359	0.000731314	-0.931842	-0.979941
HSPG2	chr1	22148725	22263790	22179564	22180685	1.20965	0.351277	0.151883	3.75253	0.000176795	-0.528763	-0.537256
HSPG2	chr1	22148725	22263790	22181259	22181340	1.40987	0.403272	0.15177	3.58488	0.000260087	-0.527118	-0.594944
HSPG2	chr1	22148725	22263790	22181940	22182015	1.16485	0.334233	0.149072	2.47153	0.00337655	-0.973865	-1.05784
HSPG2	chr1	22148725	22263790	22182169	22182279	0.974028	0.271065	0.137995	2.41453	0.00385008	-0.7732	-0.73263
FNDC5	chr1	33327869	33338093	33336415	33337994	-3.69762	0.000811822	0.010533	2.23386	0.00583635	0.145829	-0.0187417
DNALI1	chr1	38022520	38032458	38025098	38027157	1.7764	0.0279368	0.00815504	5.06973	8.5167e-06	-1.22018	-0.890466
MFSD2A	chr1	40420784	40435640	40421058	40422758	0.688113	0.112804	0.0700134	2.87641	0.00132921	-0.822159	-1.082
CFAP57	chr1	43638001	43720029	43652531	43663223	0.998363	0.058692	0.0293793	2.83245	0.00147079	-0.782413	-0.83984
CFAP57	chr1	43638001	43720029	43676550	43680925	0.928202	0.00570687	0.00299904	2.15051	0.00707121	-0.530028	-0.662235
CCDC24	chr1	44457280	44462198	44457677	44457883	0.711354	0.59946	0.366118	2.18561	0.00652213	-0.492705	-0.538715
SKINTL	chr1	48567387	48648100	48594246	48625220	-0.342462	0.00187684	0.00237968	2.74557	0.00179649	-0.335437	0
AGBL4	chr1	48998527	50489626	49511473	49711441	-1.09057	0.000355926	0.000757973	4.92232	1.19587e-05	-0.761223	-4.47011
AGBL4	chr1	48998527	50489626	49734967	49839872	-0.420847	0.000464491	0.000621821	2.62838	0.00235299	0.00431494	-4.36753
CDKN2C	chr1	51434367	51440309	51435572	51435641	1.97024	0.0931775	0.0237798	3.51832	0.000303166	-0.552581	-0.681275
TM2D1	chr1	62146719	62191095	62147023	62149088	-0.248882	1.04152	1.23762	2.67069	0.00213455	-1.06908	-0.943895
PDE4B	chr1	66258193	66840262	66384519	66458298	-0.567522	0.000133755	0.000198222	2.04005	0.00911911	-0.724687	-2.40595
LRRC7	chr1	70225858	70589171	70257844	70291430	0.270721	0.000167761	0.000139058	2.11555	0.00766384	0.425974	0.974744
LINC01361	chr1	83439566	83451891	83444970	83450542	-0.894159	0.0913307	0.169741	3.07858	0.000834495	-0.994182	-0.992642
CLCA4	chr1	87012759	87046432	87036938	87038296	-0.709772	0.0217222	0.0355276	2.41214	0.00387131	-0.552296	-0.620923
GFI1	chr1	92940318	92952433	92949357	92951570	1.1916	0.0460553	0.0201638	4.29837	5.03073e-05	-0.782471	-0.941568
LINC01307	chr1	101789393	101842869	101815742	101842813	1.48627	0.00117012	0.000417658	3.96442	0.000108537	-1.39505	-0.731401
RAP1A	chr1	112162405	112259317	112162970	112170091	0.330937	0.0944592	0.0750969	2.0072	0.00983569	-0.775663	-0.812394
NBPF20	chr1	144146811	146467744	144179647	144180355	-0.516033	0.0451082	0.0645056	2.07204	0.00847159	-0.0381521	-0.0464567
NBPF20	chr1	144146811	146467744	144184425	144185133	-0.495869	0.0497965	0.0702216	2.03486	0.00922876	-0.0187049	-0.0329855
NBPF20	chr1	144146811	146467744	144189185	144189893	-0.640048	0.235031	0.366268	2.75636	0.00175244	-0.0479325	-0.0536658
NBPF20	chr1	144146811	146467744	144193933	144194641	-0.64318	0.045305	0.070756	2.77799	0.00166729	-0.178884	-0.188042
NBPF20	chr1	144146811	146467744	144201878	144202586	-0.639715	0.0454309	0.0707823	2.77799	0.00166729	-0.178417	-0.196663
NBPF20	chr1	144146811	146467744	144220960	144221668	-0.612485	0.445246	0.680733	2.71335	0.00193485	-0.00913039	-0.0202531
NBPF20	chr1	144146811	146467744	144341078	144341669	0.407689	1.12502	0.848073	2.8106	0.00154668	-0.0174804	-0.0202549
NBPF9#1	chr1	144614959	145370304	145318227	145318935	-0.533381	3.71692	5.37957	2.95417	0.00111131	-0.377254	-0.33998
NBPF9#1	chr1	144614959	145370304	145322945	145323653	-0.512345	3.25347	4.64064	3.06709	0.000856851	-0.423783	-0.38742
NBPF9#1	chr1	144614959	145370304	145323706	145324347	-0.439189	1.32144	1.79167	2.62838	0.00235299	-0.880213	-0.846307
NBPF9#1	chr1	144614959	145370304	145332396	145333104	-0.534401	2.96278	4.29112	3.3709	0.000425696	-0.459369	-0.414832
NBPF9#1	chr1	144614959	145370304	145352037	145352684	-0.612529	1.83397	2.80403	3.07851	0.000834627	-0.683217	-0.594379
NBPF9#1	chr1	144614959	145370304	145356010	145362978	-0.363954	1.89564	2.4396	2.2826	0.00521676	-0.665402	-0.665376
NBPF25P#1	chr1	145289770	145370303	145322945	145323653	-0.512345	3.25347	4.64064	3.06709	0.000856851	-0.301059	-0.282918
NBPF25P#1	chr1	145289770	145370303	145323706	145324347	-0.439189	1.32144	1.79167	2.62838	0.00235299	-0.651974	-0.642618
NBPF25P#1	chr1	145289770	145370303	145332396	145333104	-0.534401	2.96278	4.29112	3.3709	0.000425696	-0.327475	-0.303694
NBPF25P#1	chr1	145289770	145370303	145341822	145342530	-0.500612	0.97649	1.38155	2.78884	0.00162615	-0.826306	-0.788887
NBPF25P#1	chr1	145289770	145370303	145346546	145347254	-0.495264	0.957383	1.34951	2.73481	0.00184157	-0.838806	-0.803244
NBPF25P#1	chr1	145289770	145370303	145351276	145351984	-0.474862	0.752424	1.04571	2.17603	0.00666763	-1.00243	-0.971932
NBPF25P#1	chr1	145289770	145370303	145352037	145352684	-0.612529	1.83397	2.80403	3.07851	0.000834627	-0.497387	-0.442078
NBPF25P#1	chr1	145289770	145370303	145356010	145362978	-0.363954	1.89564	2.4396	2.2826	0.00521676	-0.483634	-0.497865
NBPF10	chr1	145293371	146466121	145332396	145333104	-0.534401	2.96278	4.29112	3.3709	0.000425696	-0.228544	-0.191823
NBPF10	chr1	145293371	146466121	145337102	145337810	-0.487436	0.641714	0.899651	2.97658	0.00105541	-0.500288	-0.410581
NBPF10	chr1	145293371	146466121	145341822	145342530	-0.500612	0.97649	1.38155	2.78884	0.00162615	-0.362284	-0.295678
NBPF10	chr1	145293371	146466121	145342583	145343240	-0.502936	0.456505	0.64691	2.48299	0.00328857	-0.500508	-0.62861
NBPF10	chr1	145293371	146466121	145346546	145347254	-0.495264	0.957383	1.34951	2.73481	0.00184157	-0.371284	-0.305746
NBPF10	chr1	145293371	146466121	145347307	145347964	-0.558407	0.357267	0.526127	3.21716	0.000606519	-0.520701	-0.538952
NBPF10	chr1	145293371	146466121	145351276	145351984	-0.474862	0.752424	1.04571	2.17603	0.00666763	-0.834614	-0.725512
NBPF10	chr1	145293371	146466121	145352037	145352684	-0.612529	1.83397	2.80403	3.07851	0.000834627	-0.10605	-0.113384
NBPF25P#2	chr1	145827205	146467743	146046496	146046959	-0.388069	0.815582	1.0673	2.54479	0.00285243	-0.00872392	-0.000746132
NBPF25P#2	chr1	145827205	146467743	146047033	146048068	-0.350939	1.19309	1.52166	2.16647	0.00681603	-0.00596926	-0.000523384
NBPF25P#2	chr1	145827205	146467743	146048284	146049116	-0.296964	1.24807	1.53332	2.07204	0.00847159	-0.00570683	-0.000519402
NBPF25P#2	chr1	145827205	146467743	146055448	146057274	-0.277975	0.888006	1.0767	2.37172	0.00424897	-0.00801439	-0.000739622
NBPF25P#2	chr1	145827205	146467743	146074130	146082162	-0.259332	0.33442	0.400276	2.02562	0.00942725	-0.021184	-0.00198864
NBPF25P#2	chr1	145827205	146467743	146082634	146373856	-0.205395	0.191799	0.221145	2.48299	0.00328857	-0.0367372	-0.00359748
NBPF12	chr1	146373857	146467639	146454072	146454737	-0.38583	1.18122	1.54339	2.2826	0.00521676	-0.170565	-0.12099
NBPF9#2	chr1	148250249	148346929	148310973	148311624	-0.510445	0.124451	0.17728	2.30225	0.00498594	-0.777018	-0.788186
NBPF14	chr1	148250249	148346756	148310973	148311624	-0.519282	0.1306	0.187182	2.44223	0.0036122	-0.367589	-0.266362
HIST2H2BF	chr1	149754245	149783928	149764075	149783433	1.00879	0.0897978	0.0446262	3.27585	0.000529844	-0.757635	-0.781109
OAZ3	chr1	151735445	151743806	151739365	151739638	-0.534962	0.0687119	0.0995569	2.15698	0.00696666	-0.991368	-0.942573
TRIM46	chr1	155146263	155157447	155147749	155147861	-2.95919	0.00192697	0.0149857	2.10885	0.00778309	-0.594434	-1.18618
PAQR6	chr1	156213112	156217908	156217424	156217705	0.58131	0.178035	0.118991	2.2728	0.00533575	-0.964564	-0.970805
TSACC	chr1	156307105	156316785	156307341	156307467	0.850025	0.373299	0.207097	3.17061	0.000675136	-0.66619	-0.650058
TSACC	chr1	156307105	156316785	156307581	156307944	0.851535	0.259647	0.143895	3.95763	0.000110249	-0.882651	-0.863363
RHBG	chr1	156338980	156355013	156351993	156352538	3.92492	0.00151886	0.0001	3.57967	0.00026323	-0.751468	-2.42606
LRRC71	chr1	156890424	156902880	156894808	156896993	2.10462	0.000609737	0.000141772	2.67054	0.0021353	0.191004	1.64462
KIRREL	chr1	157963063	158070052	157963519	158045902	-0.659997	0.000270844	0.000427955	2.74718	0.00178988	-0.956208	-1.09075
VSIG8	chr1	159824106	159832447	159825138	159825672	0.709068	0.0200082	0.0122393	2.56959	0.00269409	-0.240788	-0.270825
VSIG8	chr1	159824106	159832447	159828703	159832262	0.792333	0.031123	0.0179707	2.03959	0.00912864	-0.907244	-1.4052
SLC9C2	chr1	173469604	173572233	173486844	173490439	0.606908	0.000682614	0.000448206	2.04312	0.00905478	-1.00101	-0.880736
